COD_ESP_OBJ;ESP_OBJ;COD_ESP
BOQ;BOQUERON;10156
CAB;CABALLA;10642
CHO;CHOVA;10407
CIG;CIGALA;20194
GAM;GAMBA;20066
GAR;GALLO Y RAPE;10822
GAR;GALLO Y RAPE;10823
GAR;GALLO Y RAPE;10799
GAR;GALLO Y RAPE;10800
GLE;GALERA;20013
JUR;JUREL;10414
LAN;LANGOSTINO;20059
LIR;LIRIO;10277
MER;MERLUZA;10283
RAP;RAPE;10822
RAP;RAPE;10823
SAR;SARDINA;10152
VBL;VARIADO BLANCO;10283
VBL;VARIADO BLANCO;10822
VBL;VARIADO BLANCO;10823
VBL;VARIADO BLANCO;10799
VBL;VARIADO BLANCO;10800
VBL;VARIADO BLANCO;10262
VMA;ESTORNINO;10641
GAL;GALLOS;10799
GAL;GALLOS;10800
