ESTRATO_RIM;COD_ESP_OBJ;METIER_IEO
CERCO_GC;BOQ;PSX22
CERCO_GC;JUR;PSX2X
CERCO_GC;SAR;PSX21
CERCO_GC;VMA;PSX24
BACA_GC;CIG;OTB20
BACA_GC;VBL;OTB20
BACA_GC;GAM;OTB20
BACA_GC;LAN;OTB20
BACA_GC;GLE;OTB20
BACA_GC;JUR;OTB20
BACA_GC;COS;OTB20
BACA_GC;SEP;OTB20
BACA_GC;VAR;OTB20
BACA_GC;RAP;OTB20
BACA_GC;ALI;OTB20
BACA_GC;MGB;OTB20
RAPANTER_AC;GAR;OTB51
RAPANTER_AC;POT;OTB51
PAREJA_CN;LIR;PTB11
PAREJA_CN;MER;PTB12
PAREJA_CN;CAB;PTB13
PAREJA_CN;JUR;PTB14
PAREJA_CN;POT;PTB15
BACA_CN;VBL;OTB11
BACA_CN;POT;OTB15
JURELERA_CN;JUR;OTB12
JURELERA_CN;CAB;OTB13
JURELERA_CN;LIR;OTB14
JURELERA_CN;POT;OTB15
RASCO_CN;RAP;GNS12
VOLANTA_CN;MER;GNS11
